commune,type_acte,type_acte_libelle,annee_debut,annee_fin,cote,collection,lien_image,lien_viewer,page_source
Abbécourt (Aisne),Bapteme / Sepulture / Mariage,Baptêmes / Sépultures / Mariages,1669,1750,5Mi0214,État civil - collection des microfilms (avant 1905) > Abbécourt,https://archives.aisne.fr/ark:/63271/vtacfb6c9c500f55e91/daogrp/0/layout:linear/idsearch:RECH_internet_c427e3acb82d37e35cdf41a070a5f0ae,https://archives.aisne.fr/archive/fonds/FRAD002_EC/view:1114105?RECH_commune_Index=1%7C&RECH_commune_Libel=Abbécourt (Aisne)|&RECH_Field=RECH_commune&RECH_Letter=A&RECH_annee_debut=1860,0
Abbécourt (Aisne),Bapteme / Sepulture / Mariage,Baptêmes / Sépultures / Mariages,1751,1766,5Mi0214,État civil - collection des microfilms (avant 1905) > Abbécourt,https://archives.aisne.fr/ark:/63271/vta99eba587b8195eb7/daogrp/0/layout:linear/idsearch:RECH_internet_c427e3acb82d37e35cdf41a070a5f0ae,https://archives.aisne.fr/archive/fonds/FRAD002_EC/view:1114106?RECH_commune_Index=1%7C&RECH_commune_Libel=Abbécourt (Aisne)|&RECH_Field=RECH_commune&RECH_Letter=A&RECH_annee_debut=1860,0
Abbécourt (Aisne),Bapteme / Sepulture / Deces / Mariage / Naissance,Baptêmes / Sépultures / Décès / Mariages / Naissances,1784,1806,5Mi0214,État civil - collection des microfilms (avant 1905) > Abbécourt,https://archives.aisne.fr/ark:/63271/vta5f15b2bb6530173a/daogrp/0/layout:linear/idsearch:RECH_internet_c427e3acb82d37e35cdf41a070a5f0ae,https://archives.aisne.fr/archive/fonds/FRAD002_EC/view:1114095?RECH_commune_Index=1%7C&RECH_commune_Libel=Abbécourt (Aisne)|&RECH_Field=RECH_commune&RECH_Letter=A&RECH_annee_debut=1860,0
Abbécourt (Aisne),Table,Tables décennales,An XI,1812,5Mi0010,État civil - collection des microfilms (avant 1905) > Abbécourt,https://archives.aisne.fr/ark:/63271/vta3555bdcefc437bbb/daogrp/0/layout:linear/idsearch:RECH_internet_c427e3acb82d37e35cdf41a070a5f0ae,https://archives.aisne.fr/archive/fonds/FRAD002_EC/view:1114097?RECH_commune_Index=1%7C&RECH_commune_Libel=Abbécourt (Aisne)|&RECH_Field=RECH_commune&RECH_Letter=A&RECH_annee_debut=1860,0
Abbécourt (Aisne),Deces / Mariage / Naissance,Décès / Mariages / Naissances,1807,1820,5Mi0214,État civil - collection des microfilms (avant 1905) > Abbécourt,https://archives.aisne.fr/ark:/63271/vta32bffa063a59572f/daogrp/0/layout:linear/idsearch:RECH_internet_c427e3acb82d37e35cdf41a070a5f0ae,https://archives.aisne.fr/archive/fonds/FRAD002_EC/view:1114107?RECH_commune_Index=1%7C&RECH_commune_Libel=Abbécourt (Aisne)|&RECH_Field=RECH_commune&RECH_Letter=A&RECH_annee_debut=1860,0
Abbécourt (Aisne),Table,Tables décennales,1813,1822,5Mi0012,État civil - collection des microfilms (avant 1905) > Abbécourt,https://archives.aisne.fr/ark:/63271/vtab461add5a0e5a793/daogrp/0/layout:linear/idsearch:RECH_internet_c427e3acb82d37e35cdf41a070a5f0ae,https://archives.aisne.fr/archive/fonds/FRAD002_EC/view:1114098?RECH_commune_Index=1%7C&RECH_commune_Libel=Abbécourt (Aisne)|&RECH_Field=RECH_commune&RECH_Letter=A&RECH_annee_debut=1860,0
Abbécourt (Aisne),Deces / Mariage / Naissance,Décès / Mariages / Naissances,1821,1833,5Mi0215,État civil - collection des microfilms (avant 1905) > Abbécourt,https://archives.aisne.fr/ark:/63271/vta3298aeb91ac1fc76/daogrp/0/layout:linear/idsearch:RECH_internet_c427e3acb82d37e35cdf41a070a5f0ae,https://archives.aisne.fr/archive/fonds/FRAD002_EC/view:1114108?RECH_commune_Index=1%7C&RECH_commune_Libel=Abbécourt (Aisne)|&RECH_Field=RECH_commune&RECH_Letter=A&RECH_annee_debut=1860,0
Abbécourt (Aisne),Table,Tables décennales,1823,1832,5Mi0014,État civil - collection des microfilms (avant 1905) > Abbécourt,https://archives.aisne.fr/ark:/63271/vta83bb998986ceb7c4/daogrp/0/layout:linear/idsearch:RECH_internet_c427e3acb82d37e35cdf41a070a5f0ae,https://archives.aisne.fr/archive/fonds/FRAD002_EC/view:1114099?RECH_commune_Index=1%7C&RECH_commune_Libel=Abbécourt (Aisne)|&RECH_Field=RECH_commune&RECH_Letter=A&RECH_annee_debut=1860,0
Abbécourt (Aisne),Table,Tables décennales,1833,1842,5Mi0015,État civil - collection des microfilms (avant 1905) > Abbécourt,https://archives.aisne.fr/ark:/63271/vta8c3b38ba15c33119/daogrp/0/layout:linear/idsearch:RECH_internet_c427e3acb82d37e35cdf41a070a5f0ae,https://archives.aisne.fr/archive/fonds/FRAD002_EC/view:1114100?RECH_commune_Index=1%7C&RECH_commune_Libel=Abbécourt (Aisne)|&RECH_Field=RECH_commune&RECH_Letter=A&RECH_annee_debut=1860,0
Abbécourt (Aisne),Deces / Mariage / Naissance,Décès / Mariages / Naissances,1834,1845,5Mi0215,État civil - collection des microfilms (avant 1905) > Abbécourt,https://archives.aisne.fr/ark:/63271/vtaf6333a4df26240bc/daogrp/0/layout:linear/idsearch:RECH_internet_c427e3acb82d37e35cdf41a070a5f0ae,https://archives.aisne.fr/archive/fonds/FRAD002_EC/view:1114109?RECH_commune_Index=1%7C&RECH_commune_Libel=Abbécourt (Aisne)|&RECH_Field=RECH_commune&RECH_Letter=A&RECH_annee_debut=1860,0
